"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
1388,-0.6409,1,-1,1,4755102.5812,0.1642,1,-1,1,0,0,2,0,0,0,2
762,-0.6224,1,-1,1,164074.626,NA,0,-1,NA,0,0,2,0,0,0,2
748,1.6716,1,-1,-1,445110.657,0.7912,1,1,1,1,1,2,1,0,0,2
436,1.4523,1,-1,-1,5432841.7781,2.3257,1,1,1,1,1,0,1,0,0,0
342,1.6104,1,1,1,7229150.8923,1.0301,1,1,1,0,1,0,0,0,0,0
320,1.6526,0,-1,-1,75609.5,1.3984,1,1,1,0,2,1,0,0,0,0
312,-0.6058,1,1,-1,66986546.2747,0.2179,1,-1,1,2,0,1,2,1,0,0
295,1.5848,1,1,1,7229150.8923,1.0301,1,1,1,0,0,0,0,0,0,0
264,-0.7245,0,-1,1,77555.8394,NA,0,-1,NA,1,0,1,0,0,1,1
251,1.5613,0,-1,-1,75553,1.3984,1,1,1,0,1,1,0,0,0,1
196,1.6448,1,1,-1,520019.9017,NA,0,1,NA,2,0,0,0,0,0,0
190,1.4081,1,-1,-1,738730.2244,0.9392,1,1,1,0,1,0,0,0,0,0
175,-0.6192,1,-1,1,73027.1689,0.3155,1,-1,1,1,2,0,1,0,0,0
167,-0.6183,0,1,1,24457.8837,0.0327,1,-1,1,0,0,0,0,0,0,0
165,1.5894,0,-1,1,11880.0843,NA,0,1,NA,1,1,1,1,0,0,1
163,-0.7189,0,-1,-1,231904,0.3023,1,-1,1,2,1,0,0,0,2,0
149,-0.5992,1,1,-1,62547.4039,-0.2534,1,-1,-1,0,1,0,0,0,0,0
148,1.4613,0,-1,1,106122.8963,0.8438,1,1,1,3,2,0,2,0,1,0
148,1.615,0,-1,1,55261,2.1273,1,1,1,1,0,0,0,0,1,0
146,1.6073,0,-1,-1,75609.5,1.3984,1,1,1,1,1,0,0,0,0,0
133,1.4794,0,1,-1,118289.4409,1.9958,1,1,1,2,0,0,2,0,0,0
132,-0.5958,1,-1,-1,57900.2691,0.3692,1,-1,1,0,1,1,0,0,0,1
126,-0.5342,1,-1,-1,323922.9088,-0.3323,1,-1,-1,0,1,0,0,0,0,0
124,1.5764,0,1,1,108899,2.3433,1,1,1,0,0,0,0,0,0,0
122,1.5508,0,1,1,19838.7684,1.8632,1,1,1,0,2,0,0,0,0,0
122,1.6391,1,1,-1,608066.819,0.88,1,1,1,0,0,1,0,0,0,0
121,1.4329,1,1,1,641875.1113,0.3538,1,1,1,1,1,1,1,0,0,1
