"count","ideo_mean","user.verified","url","media","followers","ideology","hasIdeo","party_mean","party","ACount_unq","MCount_unq","shared","posCount_unq","shared_pos","negCount_unq","shared_neg"
732,1.5372,0,-1,-1,115666,1.9958,1,1,1,1,0,1,1,1,0,0
252,-0.6579,1,-1,-1,154244.5745,-0.0419,1,-1,-1,2,5,0,2,0,0,0
147,-0.9367,1,1,1,757644.7684,0.3527,1,-1,1,0,0,0,0,0,0,0
124,-0.5263,0,-1,-1,4832.4312,0.5599,1,-1,1,1,1,0,1,0,0,0
124,1.4767,0,-1,-1,36639,1.0619,1,1,1,3,0,0,1,0,2,0
110,-0.3476,1,1,-1,5197540.8684,0.3012,1,-1,1,1,2,0,1,0,0,0
108,-0.6687,0,-1,1,74153.3205,NA,0,-1,NA,0,2,1,0,0,0,1
105,-0.6543,0,-1,-1,226495,0.3023,1,-1,1,2,0,0,0,0,2,0
102,-1.0091,1,1,-1,757644.7684,0.3527,1,-1,1,0,1,0,0,0,0,0
99,-0.7178,1,1,1,6403479.1855,0.4832,1,-1,1,0,0,0,0,0,0,0
97,1.4459,0,1,1,35956.8861,1.1047,1,1,1,1,1,0,0,0,1,0
96,-0.6657,0,1,-1,112960,-0.91,1,-1,-1,1,0,0,0,0,1,0
90,1.6239,0,1,1,35956.8861,1.1047,1,1,1,1,1,0,0,0,1,0
89,1.521,0,-1,1,3089.9725,NA,0,1,NA,1,0,1,1,1,0,0
89,-0.5829,0,-1,-1,45275.7965,0.0919,1,-1,1,0,1,0,0,0,0,0
83,1.554,0,1,1,35956.8861,1.1047,1,1,1,1,1,0,0,0,1,0
83,-0.4739,1,-1,-1,691708.3,-0.8201,1,-1,-1,1,1,0,1,0,0,0
80,-0.3553,1,1,-1,9641110.26,-0.6074,1,-1,-1,1,1,1,0,0,1,1
76,-0.7267,1,-1,-1,154244.5745,-0.0419,1,-1,-1,2,2,0,1,0,1,0
76,-0.4828,1,1,-1,8755184.003,0.47,1,-1,1,0,1,0,0,0,0,0
73,-0.9766,1,1,1,757644.7684,0.3527,1,-1,1,0,0,0,0,0,0,0
72,1.3365,1,1,1,231381.2055,0.7934,1,1,1,0,1,0,0,0,0,0
72,1.541,0,-1,-1,621488,0.6903,1,1,1,0,1,0,0,0,0,0
71,1.4987,0,1,1,75396.371,2.3981,1,1,1,0,0,1,0,0,0,1
70,1.5854,0,-1,-1,32849,1.2066,1,1,1,1,1,0,1,0,0,0
